feature,importance
korruption_index,0.34859245593079796
skatt_andel_bnp,0.31034959231351056
statligautgifter_andel_bnp,0.10130452715315139
gdp_per_capita,0.05632892387336886
mord_percapita,0.037803107946415046
fetma_andel,0.03629123231746422
handel_andel_gdp,0.030521726486545754
energi_percapita,0.01667406855322627
livstillfredsställelse,0.016025253656677483
barn_per_kvinna,0.012342426670064247
utbildning_andel_gdp,0.008588005627562638
livslängd,0.007199870192175317
co2_percapita,0.006985261287531322
andel_kvinnor_arbete,0.005073390044310346
skolår,0.0036724058929784096
suicid/100k,0.0022477520542201574
död_i_konflikt_percapita,0.0
