feature,coefficient,abs_coef
korruption_index,-1.211614284553357,1.211614284553357
energi_percapita,-0.5237470349358578,0.5237470349358578
statligautgifter_andel_bnp,0.4698789560327838,0.4698789560327838
handel_andel_gdp,-0.29936382507791875,0.29936382507791875
barn_per_kvinna,-0.2496635351020221,0.2496635351020221
livstillfredsställelse,0.24328752846018256,0.24328752846018256
skatt_andel_bnp,0.1586032856914396,0.1586032856914396
co2_percapita,-0.003787894290747748,0.003787894290747748
livslängd,0.0,0.0
skolår,0.0,0.0
andel_kvinnor_arbete,0.0,0.0
utbildning_andel_gdp,0.0,0.0
suicid/100k,0.0,0.0
fetma_andel,0.0,0.0
gdp_per_capita,0.0,0.0
mord_percapita,0.0,0.0
död_i_konflikt_percapita,0.0,0.0
