feature,importance
korruption_index,0.1811386340863503
statligautgifter_andel_bnp,0.10906555328864866
skatt_andel_bnp,0.08817175374576523
barn_per_kvinna,0.07767486879295475
utbildning_andel_gdp,0.07196311005421344
livstillfredsställelse,0.07130489239779596
andel_kvinnor_arbete,0.06250611462752863
mord_percapita,0.052388835936919724
skolår,0.043895616218336736
livslängd,0.04079117705465213
gdp_per_capita,0.040737496129546254
fetma_andel,0.03675602445284378
co2_percapita,0.035579058207432165
energi_percapita,0.026861941694812944
handel_andel_gdp,0.02611586548366822
suicid/100k,0.024739107764965095
död_i_konflikt_percapita,0.01030995006356602
