n_features,cv_accuracy_mean,cv_accuracy_std,features
3,0.7970443349753694,0.0345741224539243,"['co2_percapita', 'statligautgifter_andel_bnp', 'korruption_index']"
4,0.8177339901477833,0.05238841564983417,"['co2_percapita', 'statligautgifter_andel_bnp', 'livstillfredsställelse', 'korruption_index']"
5,0.8325123152709359,0.04499373744780704,"['co2_percapita', 'statligautgifter_andel_bnp', 'handel_andel_gdp', 'livstillfredsställelse', 'korruption_index']"
6,0.8187192118226602,0.08368369326418007,"['co2_percapita', 'statligautgifter_andel_bnp', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index']"
7,0.8258620689655173,0.09015451265631039,"['co2_percapita', 'energi_percapita', 'statligautgifter_andel_bnp', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index']"
8,0.825615763546798,0.06469257656030349,"['co2_percapita', 'energi_percapita', 'andel_kvinnor_arbete', 'statligautgifter_andel_bnp', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index']"
9,0.8184729064039409,0.05046316575063215,"['fetma_andel', 'co2_percapita', 'energi_percapita', 'andel_kvinnor_arbete', 'statligautgifter_andel_bnp', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index']"
10,0.825615763546798,0.06902530835305619,"['fetma_andel', 'co2_percapita', 'energi_percapita', 'andel_kvinnor_arbete', 'skolår', 'statligautgifter_andel_bnp', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index']"
11,0.825615763546798,0.09757425767898764,"['fetma_andel', 'co2_percapita', 'energi_percapita', 'andel_kvinnor_arbete', 'skolår', 'statligautgifter_andel_bnp', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index', 'mord_percapita']"
12,0.825615763546798,0.09757425767898764,"['livslängd', 'fetma_andel', 'co2_percapita', 'energi_percapita', 'andel_kvinnor_arbete', 'skolår', 'statligautgifter_andel_bnp', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index', 'mord_percapita']"
13,0.8118226600985221,0.09124078302640874,"['livslängd', 'fetma_andel', 'co2_percapita', 'energi_percapita', 'andel_kvinnor_arbete', 'skolår', 'statligautgifter_andel_bnp', 'gdp_per_capita', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index', 'mord_percapita']"
14,0.811576354679803,0.09699556174775424,"['livslängd', 'fetma_andel', 'co2_percapita', 'energi_percapita', 'andel_kvinnor_arbete', 'skolår', 'statligautgifter_andel_bnp', 'gdp_per_capita', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index', 'mord_percapita', 'död_i_konflikt_percapita']"
15,0.8044334975369459,0.1024298923221485,"['livslängd', 'suicid/100k', 'fetma_andel', 'co2_percapita', 'energi_percapita', 'andel_kvinnor_arbete', 'skolår', 'statligautgifter_andel_bnp', 'gdp_per_capita', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index', 'mord_percapita', 'död_i_konflikt_percapita']"
16,0.8253694581280788,0.09442335953968777,"['livslängd', 'suicid/100k', 'fetma_andel', 'co2_percapita', 'energi_percapita', 'andel_kvinnor_arbete', 'skolår', 'skatt_andel_bnp', 'statligautgifter_andel_bnp', 'gdp_per_capita', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index', 'mord_percapita', 'död_i_konflikt_percapita']"
17,0.7977832512315272,0.10203229841416755,"['livslängd', 'suicid/100k', 'fetma_andel', 'co2_percapita', 'energi_percapita', 'utbildning_andel_gdp', 'andel_kvinnor_arbete', 'skolår', 'skatt_andel_bnp', 'statligautgifter_andel_bnp', 'gdp_per_capita', 'handel_andel_gdp', 'livstillfredsställelse', 'barn_per_kvinna', 'korruption_index', 'mord_percapita', 'död_i_konflikt_percapita']"
